Intensity Vs Time, Counts per Second
Time in Seconds ,Cu63

0.475,0
0.476,0
0.478,0
0.479,0
0.48,0
0.481,1000.030000
0.483,0
0.484,1000.030000
0.485,0
0.486,0
0.487,0
0.489,0
0.49,1000.030000
0.491,0
0.492,0
0.493,0
0.495,0
0.496,0
0.497,0
0.498,0
0.499,0
0.501,0
0.502,0
0.503,0
0.504,0
0.505,0
0.507,0
0.508,0
0.509,0
0.51,0
0.511,0
0.513,1000.030000
0.514,1000.030000
0.515,0
0.516,0
0.517,0
0.519,0
0.52,0
0.521,0
0.522,0
0.523,0
0.525,0
0.526,0
0.527,0
0.528,0
0.529,0
0.531,0
0.532,0
0.533,0
0.534,0
0.535,0
0.537,0
0.538,0
0.539,0
0.54,1000.030000
0.541,0
0.543,0
0.544,0
0.545,0
0.546,0
0.547,0
0.549,0
0.55,0
0.551,0
0.552,0
0.553,0
0.555,0
0.556,0
0.557,0
0.558,0
0.559,0
0.561,1000.030000
0.562,0
0.563,0
0.564,0
0.565,1000.030000
0.567,0
0.568,0
0.569,0
0.57,0
0.571,0
0.573,0
0.574,0
0.575,0
0.576,0
0.577,0
0.579,0
0.58,0
0.581,0
0.582,0
0.583,0
0.585,0
0.586,0
0.587,0
0.588,0
0.589,0
0.591,0
0.592,0
0.593,0
0.594,0
0.595,0
0.597,1000.030000
0.598,0
0.599,0
0.6,0
0.601,0
0.603,0
0.604,0
0.605,0
0.606,0
0.607,0
0.609,0
0.61,1000.030000
0.611,0
0.612,0
0.613,0
0.615,0
0.616,0
0.617,0
0.618,0
0.619,1000.030000
0.621,0
0.622,0
0.623,0
0.624,0
0.625,0
0.627,0
0.628,0
0.629,0
0.63,0
0.631,0
0.633,0
0.634,0
0.635,0
0.636,0
0.637,0
0.639,0
0.64,0
0.641,0
0.642,0
0.643,0
0.645,0
0.646,0
0.647,0
0.648,0
0.649,0
0.651,1000.030000
0.652,1000.030000
0.653,0
0.654,0
0.655,0
0.657,0
0.658,0
0.659,0
0.66,0
0.661,0
0.663,0
0.664,1000.030000
0.665,0
0.666,1000.030000
0.667,0
0.669,0
0.67,0
0.671,0
0.672,0
0.673,0
0.675,0
0.676,0
0.677,0
0.678,0
0.679,0
0.681,0
0.682,0
0.683,0
0.684,0
0.685,0
0.687,0
0.688,0
0.689,0
0.69,0
0.691,0
0.693,1000.030000
0.694,0
0.695,0
0.696,1000.030000
0.697,0
0.699,0
0.7,0
0.701,0
0.702,0
0.703,0
0.705,0
0.706,0
0.707,0
0.708,0
0.709,0
0.711,0
0.712,0
0.713,0
0.714,0
0.715,1000.030000
0.717,0
0.718,0
0.719,0
0.72,0
0.721,0
0.723,0
0.724,0
0.725,0
0.726,0
0.728,0
0.729,0
0.73,0
0.731,0
0.732,0
0.734,0
0.735,0
0.736,0
0.737,0
0.738,0
0.74,1000.030000
0.741,0
0.742,0
0.743,0
0.744,1000.030000
0.746,0
0.747,0
0.748,0
0.749,0
0.75,0
0.752,1000.030000
0.753,0
0.754,0
0.755,0
0.756,0
0.758,0
0.759,0
0.76,0
0.761,0
0.762,0
0.764,0
0.765,1000.030000
0.766,0
0.767,0
0.768,0
0.77,0
0.771,0
0.772,0
0.773,0
0.774,0
0.776,0
0.777,0
0.778,0
0.779,0
0.78,0
0.782,1000.030000
0.783,0
0.784,0
0.785,0
0.786,0
0.788,0
0.789,0
0.79,0
0.791,0
0.792,0
0.794,0
0.795,0
0.796,0
0.797,0
0.798,0
0.8,0
0.801,0
0.802,0
0.803,1000.030000
0.804,0
0.806,0
0.807,0
0.808,0
0.809,0
0.81,1000.030000
0.812,1000.030000
0.813,0
0.814,0
0.815,0
0.816,0
0.818,0
0.819,0
0.82,0
0.821,0
0.822,0
0.824,0
0.825,0
0.826,0
0.827,0
0.828,1000.030000
0.83,0
0.831,0
0.832,0
0.833,2000.120007200
0.834,0
0.836,0
0.837,0
0.838,0
0.839,0
0.84,0
0.842,0
0.843,0
0.844,0
0.845,0
0.846,0
0.848,0
0.849,0
0.85,0
0.851,0
0.852,1000.030000
0.854,0
0.855,0
0.856,0
0.857,0
0.858,0
0.86,0
0.861,0
0.862,0
0.863,0
0.864,0
0.866,1000.030000
0.867,0
0.868,1000.030000
0.869,0
0.87,0
0.872,0
0.873,0
0.874,0
0.875,0
0.876,0
0.878,0
0.879,0
0.88,0
0.881,0
0.882,0
0.884,0
0.885,0
0.886,0
0.887,0
0.888,1000.030000
0.89,0
0.891,2000.120007200
0.892,0
0.893,0
0.894,1000.030000
0.896,0
0.897,0
0.898,0
0.899,0
0.9,0
0.902,0
0.903,0
0.904,0
0.905,0
0.906,1000.030000
0.908,0
0.909,0
0.91,0
0.911,0
0.912,0
0.914,0
0.915,1000.030000
0.916,0
0.917,0
0.918,0
0.92,0
0.921,0
0.922,2000.120007200
0.923,0
0.924,0
0.926,0
0.927,0
0.928,0
0.929,0
0.93,1000.030000
0.932,0
0.933,0
0.934,0
0.935,0
0.936,0
0.938,0
0.939,0
0.94,0
0.941,0
0.942,0
0.944,0
0.945,0
0.946,0
0.947,0
0.948,0
0.95,0
0.951,0
0.952,0
0.953,0
0.954,0
0.956,0
0.957,1000.030000
0.958,0
0.959,0
0.96,1000.030000
0.962,0
0.963,1000.030000
0.964,0
0.965,1000.030000
0.967,0
0.968,0
0.969,0
0.97,0
0.971,1000.030000
0.973,1000.030000
0.974,0
0.975,0
0.976,0
0.977,0
0.979,0
0.98,0
0.981,0
0.982,0
0.983,0
0.985,2000.120007200
0.986,0
0.987,1000.030000
0.988,0
0.989,0
0.991,2000.120007200
0.992,0
0.993,0
0.994,0
0.995,1000.030000
0.997,0
0.998,1000.030000
0.999,0
1.,0
1.001,0
1.003,0
1.004,0
1.005,0
1.006,0
1.007,1000.030000
1.009,0
1.01,0
1.011,1000.030000
1.012,0
1.013,0
1.015,0
1.016,1000.030000
1.017,0
1.018,0
1.019,0
1.021,0
1.022,0
1.023,1000.030000
1.024,0
1.025,0
1.027,0
1.028,0
1.029,0
1.03,0
1.031,0
1.033,0
1.034,1000.030000
1.035,0
1.036,0
1.037,0
1.039,0
1.04,0
1.041,0
1.042,0
1.043,0
1.045,0
1.046,0
1.047,0
1.048,0
1.049,0
1.051,0
1.052,0
1.053,0
1.054,0
1.055,0
1.057,0
1.058,0
1.059,0
1.06,0
1.061,1000.030000
1.063,0
1.064,0
1.065,0
1.066,0
1.067,0
1.069,0
1.07,2000.120007200
1.071,0
1.072,0
1.073,0
1.075,0
1.076,2000.120007200
1.077,0
1.078,0
1.079,0
1.081,0
1.082,0
1.083,0
1.084,0
1.085,2000.120007200
1.087,0
1.088,0
1.089,0
1.09,0
1.091,0
1.093,0
1.094,0
1.095,0
1.096,0
1.097,0
1.099,0
1.1,1000.030000
1.101,0
1.102,0
1.103,0
1.105,0
1.106,0
1.107,0
1.108,0
1.109,0
1.111,0
1.112,0
1.113,0
1.114,0
1.115,0
1.117,0
1.118,0
1.119,0
1.12,0
1.121,0
1.123,0
1.124,0
1.125,0
1.126,0
1.127,0
1.129,0
1.13,0
1.131,0
1.132,0
1.133,0
1.135,0
1.136,0
1.137,0
1.138,1000.030000
1.139,0
1.141,0
1.142,0
1.143,1000.030000
1.144,0
1.145,0
1.147,0
1.148,0
1.149,0
1.15,0
1.151,0
1.153,0
1.154,0
1.155,0
1.156,0
1.157,0
1.159,0
1.16,0
1.161,0
1.162,0
1.163,0
1.165,0
1.166,0
1.167,0
1.168,0
1.169,0
1.171,0
1.172,0
1.173,0
1.174,0
1.175,0
1.177,0
1.178,0
1.179,0
1.18,0
1.181,0
1.183,0
1.184,0
1.185,0
1.186,0
1.187,0
1.189,0
1.19,0
1.191,0
1.192,0
1.193,0
1.195,0
1.196,0
1.197,0
1.198,0
1.199,0
1.201,0
1.202,0
1.203,0
1.204,0
1.206,0
1.207,0
1.208,0
1.209,0
1.21,0
1.212,0
1.213,0
1.214,0
1.215,0
1.216,0
1.218,0
1.219,0
1.22,1000.030000
1.221,0
1.222,0
1.224,0
1.225,0
1.226,0
1.227,2000.120007200
1.228,0
1.23,0
1.231,0
1.232,0
1.233,0
1.234,0
1.236,0
1.237,0
1.238,0
1.239,0
1.24,0
1.242,0
1.243,0
1.244,0
1.245,0
1.246,1000.030000
1.248,0
1.249,0
1.25,0
1.251,0
1.252,0
1.254,1000.030000
1.255,0
1.256,0
1.257,1000.030000
1.258,0
1.26,0
1.261,0
1.262,0
1.263,0
1.264,0
1.266,0
1.267,0
1.268,0
1.269,0
1.27,0
1.272,0
1.273,1000.030000
1.274,0
1.275,0
1.276,0
1.278,0
1.279,0
1.28,0
1.281,0
1.282,0
1.284,0
1.285,0
1.286,0
1.287,0
1.288,0
1.29,0
1.291,0
1.292,0
